stop_id,stop_name,stop_lat,stop_lon
"10174403","ป้ายรถประจำทาง ตรงข้ามเดอะไพน์ กอล์ฟแอนด์ลอดจ์","13.8362952","100.9062991"
"10174402","ป้ายรถประจำทาง ซอยสันติสุข 73","13.8388363","100.9021211"
"10174401","ป้ายรถประจำทาง ซอยมาตานุสรณ์","13.6981636","100.4962868"
"10174400","ป้ายรถประจำทาง วัดมะกอก","13.7809079","100.4276999"
"10174399","ป้ายรถประจำทาง ซอยแจ้งวัฒนะ-ปากเกร็ด 31","13.9018971","100.5355905"
"10174398","ป้ายรถประจำทาง โรงเรียนยอเซฟอุปถัมภ์","13.7184334","100.2589984"
"10174397","ป้ายรถประจำทาง วัดใหม่ทองเสน","13.7969024","100.5221488"
"10174396","ป้ายรถประจำทาง บุคคโล","13.7040344","100.4871057"
"10174395","ป้ายรถประจำทาง เมเจอร์ปิ่นเกล้า","13.7755770553","100.4795387877"
"10174394","ป้ายรถประจำทาง ตรงข้ามซอยร่มเกล้า 25/6","13.736027466","100.7463322693"
"10174393","ป้ายรถประจำทาง ท่าเตียน","13.7469394","100.4920347"
"10174392","ป้ายรถประจำทาง หมู่บ้านพัชรินทร์วิลล่า","13.7345051","100.3294155"
"10174391","ป้ายรถประจำทาง กรมการขนส่งทางบก","13.794844","100.5269857"
"10174390","ป้ายรถประจำทาง ใต้สะพานพระราม 7","13.8155581","100.5151012"
"10174389","ป้ายรถประจำทาง โรงเรียนอนุสรณ์ตระกูลกอดีรี","13.8447351","100.8969972"
"10174388","ป้ายรถประจำทาง จราจรกลาง","13.7472866429","100.4985289822"
"10174387","ป้ายรถประจำทาง กองทะเบียนปราบปราม","13.818133","100.5627552"
"10174386","ป้ายรถประจำทาง ซอยอารีย์","13.7738143634","100.5423377079"
"10174385","ป้ายรถประจำทาง","13.7245977","100.5162851"
"10174384","ป้ายรถประจำทาง ถนนสังฆสันติสุข","13.847366","100.892737"
"10174383","ป้ายรถประจำทาง สนามเป้า","13.7675034","100.5396365"
"10174382","ป้ายรถประจำทาง หมู่บ้านพรหมพิทักษ์","13.7105339","100.3302594"
"10174381","ป้ายรถประจำทาง วังสรานรมย์","13.7473581","100.4956619"
"10174380","ป้ายรถประจำทาง","13.702138","100.5024683"
"10174379","ป้ายรถประจำทาง ซอยกรุงเทพ-นนทบุรี4","13.8079386","100.5311201"
"10174378","ป้ายรถประจำทาง แยกพุทธมณฑลสาย 4","13.70547","100.3304911"
"10174377","ป้ายรถประจำทาง วัดลาดบัวขาว","13.7000060462","100.5001189675"
"10174376","ป้ายรถประจำทาง ตรงข้ามธนาคารกสิกรไทย","13.810506","100.5314441"
"10174375","ป้ายรถประจำทาง ตรงข้ามโรงเรียนสามแยกท่าไข่","13.8484789","100.8912165"
"10174374","ป้ายรถประจำทาง วัดท่าพระ","13.7334473","100.472033"
"10174373","ป้ายรถประจำทาง","13.741502","100.50782"
"10174372","ป้ายรถประจำทาง จันทร์สุข","13.849202","100.888265"
"10174371","ป้ายรถประจำทาง","13.8282723603","100.5689344503"
"10174370","ป้ายรถประจำทาง สนามบินดอนเมือง","13.914469","100.5982213"
"10174369","ป้ายรถประจำทาง กระทรวงศึกษาธิการ","13.7623949","100.5147831"
"10174368","ป้ายรถประจำทาง","13.7159082471","100.4791508882"
"10174367","ป้ายรถประจำทาง ตรงข้ามหมู่บ้านนันทวันเซ็นเตอร์ 1","13.850154","100.8840442"
"10174366","ป้ายรถประจำทาง สะพานกรุงธน","13.7790132162","100.5074219086"
"10174365","ป้ายรถประจำทาง ตรงข้ามธนันท์วัฒนะกิจ","13.8525325","100.8749562"
"10174364","ป้ายรถประจำทาง ซอยอัครพัฒน์","13.7081291","100.2839715"
"10174363","ป้ายรถประจำทาง วิทยาลัยทองสุข","13.772503903","100.3950852664"
"10174361","ป้ายรถประจำทาง สถานีรถไฟหัวลำโพง","13.7372248","100.5173924"
"10174360","ป้ายรถประจำทาง","13.7070155991","100.48169447"
"10174359","ป้ายรถประจำทาง ตรงช้ามสำนักงานเลขาธิการ","13.776365647","100.3950851709"
"10174358","ป้ายรถประจำทาง วัดใหญ่","13.5936107","100.5654198"
"10174357","ป้ายรถประจำทาง","13.5935658433","100.5706073209"
"10174356","ป้ายรถประจำทาง สำนักงานสรรพากรหนองจอก","13.8520246","100.8609198"
"10174355","ป้ายรถประจำทาง สามแยกเจดีย์","13.5942208","100.5791175"
"10174354","ป้ายรถประจำทาง ศาลฎีกา","13.7551945","100.4940954"
"10174353","ป้ายรถประจำทาง โรงเรียนสุเหร่าหะยีมินา","13.8540286","100.8694571"
"10174352","ป้ายรถประจำทาง","13.7407029416","100.4988054069"
"10174351","ป้ายรถประจำทาง ตลาดดอกไม้(สะพานพุทธ)","13.7422153969","100.4962284755"
"10174350","ป้ายรถประจำทาง สามย่าน","13.734258","100.5290912"
"10174349","ป้ายรถประจำทาง ศูนย์ฝึกอบรมสถาบันพัฒนาข้าราชการกรุงเทพฯ","13.8468621","100.858144"
"10174348","ป้ายรถประจำทาง","13.7685494","100.5304475"
"10174347","ป้ายรถประจำทาง กรมแพทย์ทหารบก","13.7595115439","100.5354367756"
"10174346","ป้ายรถประจำทาง","13.7735392","100.6561204"
"10174345","ป้ายรถประจำทาง","13.7068879","100.5476592"
"10174344","ป้ายรถประจำทาง มหาวิทยาลัยเทคโนโลยีมหานคร","13.8427108","100.8560196"
"10174343","ป้ายรถประจำทาง ซอยวัดสวัสดิ์","13.7830976","100.5157501"
"10174342","ป้ายรถประจำทาง ห้างโรบินสันบางรัก","13.6794046706","100.5103837672"
"10174341","ป้ายรถประจำทาง บริษัทล็อกซเล่ย์","13.7164677","100.5574949"
