id,name,lat,long,police,road,district,description
3044,ตรงข้ามซอยหทัยราษฎร์ 15,13.82441643,100.7205098,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3045,โรงเรียนภูมิสมิทธ์,13.822512,100.720635,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3046,ตรงข้ามหมู่บ้านรุ่งกิจ,13.820072,100.720884,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3047,โรงเรียนปริยากร,13.818266,100.721395,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3048,ตรงข้ามโรงเรียนปริยากร (ซอยหทัยราษฎร์ 1),13.819081,100.720888,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3049,ซอยหทัยราษฎร์ 15,13.824245,100.720446,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3050,หมู่บ้านภาวรินทร์ (ซอยหทัยราษฎร์9),13.822979,100.720472,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3051,โรงเรียนสุดใจ,13.829393,100.720181,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3052,หมู่บ้านภัทรินทร์ 2,13.83743,100.720032,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3053,หมู่บ้านรุ่งกิจ,13.820906,100.720649,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3054,วัดศรีนวลธรรมวิมล (ท่ารถสาย 80) **ไม่มีมติ,13.65686804,100.343571,หนองแขม,หนองแขม-วัดศรีนวล,หนองแขม,
3055,มหาวิทยาลัยธรรมศาสตร์,13.7565456,100.4923743,ชนะสงคราม,หน้าพระธาตุ,พระนคร,
